City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
praia da vitoria,38.7333,-27.0667,22.14,73,40,4.14,PT,2024-06-08 09:18:43
grytviken,-54.2811,-36.5092,-2.51,83,18,2.72,GS,2024-06-08 09:18:43
adamstown,-25.066,-130.1015,22.58,82,63,4.66,PN,2024-06-08 09:18:43
san felipe,10.3399,-68.7425,34.57,38,21,3.11,VE,2024-06-08 09:18:43
lander,42.833,-108.7307,20.62,52,0,2.57,US,2024-06-08 09:18:43
puerto natales,-51.7236,-72.4875,2.25,100,75,1.03,CL,2024-06-08 09:18:44
ribadesella,43.4614,-5.0596,17.75,91,99,1.61,ES,2024-06-08 09:18:44
wynyard,-41.0,145.7167,11.61,94,100,3.58,AU,2024-06-08 09:18:44
port-aux-francais,-49.35,70.2167,6.04,97,100,14.79,TF,2024-06-08 09:18:44
naryn,41.4287,75.9911,11.88,38,26,3.5,KG,2024-06-08 09:18:44
tazovsky,67.4667,78.7,5.63,82,0,4.35,RU,2024-06-08 09:18:44
nadym,65.5333,72.5167,13.87,53,34,4.74,RU,2024-06-08 09:18:45
hamilton,39.1834,-84.5333,23.02,63,0,3.09,US,2024-06-08 09:18:45
waitangi,-43.9535,-176.5597,6.57,92,5,1.79,NZ,2024-06-08 09:18:45
donggang,28.9365,114.2259,21.33,94,100,0.72,CN,2024-06-08 09:18:45
ayr,55.4627,-4.6339,15.17,66,20,10.29,GB,2024-06-08 09:18:45
tiksi,71.6872,128.8694,-0.15,91,66,3.45,RU,2024-06-08 09:18:45
longyearbyen,78.2186,15.6401,3.91,75,40,1.54,SJ,2024-06-08 09:18:46
la passe,45.5549,-0.8967,21.66,85,100,5.2,FR,2024-06-08 09:18:46
qaqortoq,60.7167,-46.0333,3.3,98,100,0.37,GL,2024-06-08 09:18:46
punta arenas,-53.15,-70.9167,3.06,75,0,1.54,CL,2024-06-08 09:18:46
stanley,54.868,-1.6985,15.84,45,20,7.72,GB,2024-06-08 09:18:46
ribeira grande,38.5167,-28.7,21.22,83,75,5.14,PT,2024-06-08 09:18:46
enewetak,11.3474,162.3373,28.26,81,11,6.74,MH,2024-06-08 09:18:47
ta`u,-14.2336,-169.5144,26.79,77,71,10.14,AS,2024-06-08 09:18:47
masterton,-40.9597,175.6575,6.17,93,49,2.13,NZ,2024-06-08 09:18:47
yellowknife,62.456,-114.3525,11.9,69,100,4.63,CA,2024-06-08 09:18:47
kapa'a,22.0752,-159.319,23.18,88,100,1.54,US,2024-06-08 09:18:47
ushuaia,-54.8,-68.3,2.81,70,20,7.2,AR,2024-06-08 09:18:48
invercargill,-46.4,168.35,6.12,97,83,0.89,NZ,2024-06-08 09:18:48
waingapu,-9.6567,120.2641,24.23,87,53,4.09,ID,2024-06-08 09:18:48
sigayevo,56.4216,53.7757,18.05,81,93,2.06,RU,2024-06-08 09:18:48
papatowai,-46.5619,169.4708,7.79,89,77,3.31,NZ,2024-06-08 09:18:48
guerrero negro,27.9769,-114.0611,18.67,74,84,6.36,MX,2024-06-08 09:18:49
hammerfest,70.6634,23.6821,10.25,66,0,5.14,NO,2024-06-08 09:18:49
den burg,53.0542,4.7972,13.85,92,100,5.14,NL,2024-06-08 09:18:49
port alfred,-33.5906,26.891,13.43,87,52,4.83,ZA,2024-06-08 09:18:49
badger,64.8,-147.5333,20.14,41,0,5.66,US,2024-06-08 09:18:49
udachny,66.4167,112.4,13.58,80,98,3.15,RU,2024-06-08 09:18:49
joroinen,62.1782,27.8317,12.21,46,98,3.81,FI,2024-06-08 09:18:50
mugia,43.1041,-9.2179,15.51,82,99,10.84,ES,2024-06-08 09:18:50
blackmans bay,-43.0167,147.3167,8.18,90,100,4.41,AU,2024-06-08 09:18:50
vuktyl,63.8567,57.3094,18.39,35,64,2.24,RU,2024-06-08 09:18:50
suntar,62.1444,117.6319,8.97,85,3,2.85,RU,2024-06-08 09:18:50
kuruman,-27.4524,23.4325,12.22,38,0,3.48,ZA,2024-06-08 09:18:50
pangody,65.85,74.4859,8.43,77,0,4.73,RU,2024-06-08 09:18:51
northam,51.0333,-4.2167,16.33,74,16,5.05,GB,2024-06-08 09:18:51
gao,16.6362,1.637,42.84,14,4,2.62,ML,2024-06-08 09:18:51
carnarvon,-24.8667,113.6333,22.92,72,3,7.53,AU,2024-06-08 09:18:51
cabedelo,-6.9811,-34.8339,30.37,79,51,5.83,BR,2024-06-08 09:18:51
vorgashor,67.5833,63.95,-1.22,93,100,3.68,RU,2024-06-08 09:18:51
hawaiian paradise park,19.5933,-154.9731,21.13,93,0,2.57,US,2024-06-08 09:18:52
whitehorse,60.7161,-135.0538,12.28,46,75,1.03,CA,2024-06-08 09:18:52
perevolotskiy,51.8763,54.1938,18.65,84,100,3.26,RU,2024-06-08 09:18:52
cambria,35.5641,-121.0808,14.41,79,63,1.67,US,2024-06-08 09:18:52
touros,-5.1989,-35.4608,27.76,82,56,5.59,BR,2024-06-08 09:18:52
shohimardon,39.9839,71.8028,23.43,51,48,0.58,UZ,2024-06-08 09:18:53
crane,31.3974,-102.3501,30.72,41,95,10.67,US,2024-06-08 09:18:53
chonchi,-42.6128,-73.8092,11.73,96,100,4.67,CL,2024-06-08 09:18:53
samarinda,-0.5,117.15,23.74,98,36,0.79,ID,2024-06-08 09:18:53
vilyuchinsk,52.9306,158.4028,11.15,71,99,3.92,RU,2024-06-08 09:18:53
keflavik,64.0049,-22.5624,8.95,70,75,6.69,IS,2024-06-08 09:18:53
la ronge,55.1001,-105.2842,8.14,66,100,4.63,CA,2024-06-08 09:18:53
mar del plata,-38.0023,-57.5575,15.61,91,100,8.94,AR,2024-06-08 09:14:12
labuan,5.2767,115.2417,26.2,94,40,0.0,MY,2024-06-08 09:18:54
kenai,60.5544,-151.2583,11.19,74,100,5.66,US,2024-06-08 09:18:54
kununurra,-15.7667,128.7333,15.99,59,0,2.57,AU,2024-06-08 09:18:54
umluj,25.0213,37.2685,32.3,48,95,0.88,SA,2024-06-08 09:18:54
zakamensk,50.3741,103.2863,10.76,83,94,0.76,RU,2024-06-08 09:18:54
chardara,41.2547,67.9692,29.51,28,0,2.89,KZ,2024-06-08 09:18:55
greenland,43.0362,-70.8328,23.49,59,75,7.2,US,2024-06-08 09:18:55
jamestown,42.097,-79.2353,19.77,57,100,7.72,US,2024-06-08 09:18:55
murzuq,25.9155,13.9184,36.86,8,0,4.83,LY,2024-06-08 09:18:55
port lincoln,-34.7333,135.8667,13.49,80,100,3.39,AU,2024-06-08 09:18:55
arkalyk,50.2486,66.9114,21.29,60,100,1.42,KZ,2024-06-08 09:18:55
qui nhon,13.7667,109.2333,28.3,79,100,1.93,VN,2024-06-08 09:18:56
wailua homesteads,22.0669,-159.378,22.44,90,100,1.54,US,2024-06-08 09:18:56
port mathurin,-19.6833,63.4167,24.12,77,84,10.32,MU,2024-06-08 09:18:56
port elizabeth,-33.918,25.5701,14.16,88,0,2.06,ZA,2024-06-08 09:18:56
baiquan,47.5833,126.0833,13.66,84,100,3.24,CN,2024-06-08 09:14:07
jabat,7.75,168.9751,28.4,79,99,6.95,MH,2024-06-08 09:18:56
coxim,-18.5067,-54.76,34.06,24,7,4.08,BR,2024-06-08 09:18:57
iskateley,67.6803,53.1512,4.45,73,81,4.92,RU,2024-06-08 09:18:57
puerto ayora,-0.7393,-90.3518,26.98,95,95,0.89,EC,2024-06-08 09:18:57
lebu,-37.6167,-73.65,13.25,95,100,9.66,CL,2024-06-08 09:18:57
yenangyaung,20.4667,94.8833,28.96,70,76,5.03,MM,2024-06-08 09:18:57
bethel,41.3712,-73.414,24.0,58,75,6.17,US,2024-06-08 09:18:57
cooper's town,26.8667,-77.5167,28.94,74,2,4.14,BS,2024-06-08 09:18:58
rock springs,41.5875,-109.2029,21.8,49,20,4.63,US,2024-06-08 09:18:38
bucerias,20.75,-105.3333,28.32,78,100,3.6,MX,2024-06-08 09:15:41
tsiombe,-25.3,45.4833,19.87,73,37,5.57,MG,2024-06-08 09:18:58
sabang,5.8933,95.3214,29.87,68,72,7.08,ID,2024-06-08 09:18:58
simplicio mendes,-7.8539,-41.9103,30.36,46,90,4.77,BR,2024-06-08 09:18:58
west island,-12.1568,96.8225,27.99,74,75,4.12,CC,2024-06-08 09:18:58
dunedin,-45.8742,170.5036,8.5,83,83,2.54,NZ,2024-06-08 09:16:03
east london,-33.0153,27.9116,14.52,82,0,2.06,ZA,2024-06-08 09:18:59
kargasok,59.0556,80.8572,13.31,82,100,2.68,RU,2024-06-08 09:18:59
kirakira,-10.4544,161.9205,27.14,89,90,4.21,SB,2024-06-08 09:18:59
college,64.8569,-147.8028,20.18,44,75,5.66,US,2024-06-08 09:18:59
mount isa,-20.7333,139.5,10.87,71,0,4.12,AU,2024-06-08 09:18:59
bilibino,68.0546,166.4372,4.04,59,1,1.24,RU,2024-06-08 09:18:59
targuist,34.9377,-4.3186,22.05,36,11,6.93,MA,2024-06-08 09:19:00
edinburgh of the seven seas,-37.0676,-12.3116,15.55,94,100,15.21,SH,2024-06-08 09:19:00
san antonio de pale,-1.4014,5.6325,25.46,69,15,2.74,GQ,2024-06-08 09:19:00
nar'yan-mar,67.6713,53.087,4.5,73,76,4.92,RU,2024-06-08 09:19:00
nyurba,63.2842,118.3319,12.08,83,5,2.86,RU,2024-06-08 09:19:00
albany,42.6001,-73.9662,18.86,70,89,0.89,US,2024-06-08 09:19:01
shizuishan,39.2333,106.7694,23.62,30,92,2.57,CN,2024-06-08 09:19:01
pyapon,16.2833,95.6833,26.68,87,100,3.84,MM,2024-06-08 09:19:01
hauterive,46.0901,3.4459,22.42,68,84,3.48,FR,2024-06-08 09:19:01
luau,-10.7073,22.2247,25.33,26,9,1.36,AO,2024-06-08 09:19:01
san marcos,33.1434,-117.1661,21.13,83,100,3.09,US,2024-06-08 09:15:09
yaren,-0.5472,166.916,29.33,69,9,5.19,NR,2024-06-08 09:19:02
kapuskasing,49.4169,-82.4331,16.05,63,75,6.69,CA,2024-06-08 09:19:02
anadyr,64.75,177.4833,1.28,93,75,2.0,RU,2024-06-08 09:19:02
san patricio,28.017,-97.5169,33.25,48,1,4.27,US,2024-06-08 09:19:02
dzilam gonzalez,21.2833,-88.9333,35.7,43,7,1.56,MX,2024-06-08 09:19:02
nowshahr,36.649,51.496,24.97,78,20,2.06,IR,2024-06-08 09:19:03
tongren,27.7172,109.1853,18.93,97,100,1.23,CN,2024-06-08 09:19:03
saipan,15.1355,145.701,27.39,89,0,3.6,MP,2024-06-08 09:19:03
luderitz,-26.6481,15.1594,18.72,45,0,5.54,NA,2024-06-08 09:19:03
shakawe,-18.3667,21.85,20.58,20,0,2.51,BW,2024-06-08 09:19:03
petropavlovsk-kamchatsky,53.0452,158.6483,10.33,63,0,6.26,RU,2024-06-08 09:19:03
markovo,57.3206,107.0881,9.27,60,79,1.74,RU,2024-06-08 09:19:04
isafjordur,66.0755,-23.124,4.02,81,75,6.17,IS,2024-06-08 09:19:04
zamania,25.4333,83.5667,38.92,14,3,2.6,IN,2024-06-08 09:19:04
minas de marcona,-15.2119,-75.1103,20.41,49,20,1.71,PE,2024-06-08 09:19:04
carnaiba,-8.7,-37.6667,29.37,55,90,6.14,BR,2024-06-08 09:19:04
sanya,18.2431,109.505,27.09,94,20,3.0,CN,2024-06-08 09:19:04
itoman,26.1247,127.6694,26.43,100,75,4.12,JP,2024-06-08 09:19:05
garoua boulai,5.8833,14.55,24.01,74,100,2.64,CM,2024-06-08 09:19:05
grantsville,40.5999,-112.4644,27.71,38,0,1.54,US,2024-06-08 09:19:05
leava,-14.3,-178.1667,27.43,76,100,10.06,WF,2024-06-08 09:19:05
ilulissat,69.2167,-51.1,1.99,90,8,2.78,GL,2024-06-08 09:19:05
ciudad lazaro cardenas,17.9583,-102.2,29.17,58,49,2.91,MX,2024-06-08 09:19:05
tolanaro,-25.0319,46.9987,21.04,88,75,7.2,MG,2024-06-08 09:19:06
avarua,-21.2078,-159.775,19.03,72,40,1.03,CK,2024-06-08 09:19:06
roxas,11.5853,122.7511,25.64,84,99,2.1,PH,2024-06-08 09:19:06
salvador,13.8333,-88.9167,26.22,96,100,0.51,SV,2024-06-08 09:19:06
maintirano,-18.0667,44.0167,25.65,69,0,7.07,MG,2024-06-08 09:19:06
fale old settlement,-9.3852,-171.2468,27.65,73,38,0.63,TK,2024-06-08 09:19:06
berdigestyakh,62.0989,126.6992,10.75,63,21,2.55,RU,2024-06-08 09:19:07
general conesa,-40.1,-64.4333,17.38,71,98,4.15,AR,2024-06-08 09:19:07
margaret river,-33.95,115.0667,18.26,72,100,8.62,AU,2024-06-08 09:19:07
kangdong-up,39.1425,126.0961,17.66,92,94,0.98,KP,2024-06-08 09:19:07
grafton,42.207,-71.6856,22.23,61,40,7.72,US,2024-06-08 09:19:07
aasiaat,68.7098,-52.8699,1.57,87,8,3.99,GL,2024-06-08 09:19:07
pasighat,28.0667,95.3333,24.81,90,8,1.91,IN,2024-06-08 09:19:08
brisas de zicatela,15.8369,-97.0419,30.41,57,100,1.39,MX,2024-06-08 09:19:08
urumqi,43.801,87.6005,26.53,18,0,2.0,CN,2024-06-08 09:19:08
kingston,17.997,-76.7936,31.2,75,100,4.6,JM,2024-06-08 09:19:08
fortuna,40.5982,-124.1573,17.74,90,0,0.0,US,2024-06-08 09:19:08
novyy urengoy,66.0833,76.6333,7.14,75,3,3.42,RU,2024-06-08 09:19:09
suva,-18.1416,178.4415,23.71,94,75,1.54,FJ,2024-06-08 09:19:09
wajir,1.7471,40.0573,30.21,42,53,8.56,KE,2024-06-08 09:19:09
san jose del guaviare,2.5729,-72.6459,22.98,99,100,1.72,CO,2024-06-08 09:19:09
nguekhokh,14.5128,-17.005,28.49,61,0,7.2,SN,2024-06-08 09:19:09
narasannapeta,18.4167,84.05,29.56,74,96,6.21,IN,2024-06-08 09:19:09
gamba,-2.65,10.0,25.04,70,53,3.26,GA,2024-06-08 09:19:10
hilo,19.7297,-155.09,29.04,88,0,2.57,US,2024-06-08 09:19:10
rosarito,32.3333,-117.0333,19.4,75,45,2.73,MX,2024-06-08 09:15:03
quellon,-43.1167,-73.6167,10.95,94,100,9.25,CL,2024-06-08 09:19:10
zouerate,22.7187,-12.4521,37.54,14,0,3.92,MR,2024-06-08 09:19:10
kristiansund,63.1115,7.732,15.36,54,75,4.63,NO,2024-06-08 09:19:10
sinabang,2.4803,96.3801,26.59,80,92,1.78,ID,2024-06-08 09:19:10
cole harbour,44.6724,-63.4751,15.66,96,100,6.17,CA,2024-06-08 09:19:11
smithers,54.7804,-127.1743,13.18,54,20,1.54,CA,2024-06-08 09:19:11
dhuusamarreeb,5.535,46.3861,30.1,47,100,8.31,SO,2024-06-08 09:19:11
colonia,50.9333,6.95,23.66,41,0,8.23,DE,2024-06-08 09:16:12
valle de la pascua,9.2155,-66.0073,29.12,66,97,2.71,VE,2024-06-08 09:19:11
prien,30.1819,-93.2738,32.23,65,0,3.6,US,2024-06-08 09:19:11
qamdo,31.1667,97.2333,10.76,57,45,1.64,CN,2024-06-08 09:19:12
tura,25.5198,90.2201,25.66,91,4,3.62,IN,2024-06-08 09:19:12
san juan de miraflores,-12.1629,-76.9635,21.76,77,63,3.07,PE,2024-06-08 09:19:12
monticello,45.3055,-93.7941,21.18,57,0,1.54,US,2024-06-08 09:19:12
onega,63.9061,38.1404,13.7,62,100,1.79,RU,2024-06-08 09:19:12
malayer,34.2969,48.8235,25.94,27,75,2.06,IR,2024-06-08 09:19:12
tamanrasset,22.785,5.5228,34.95,9,40,7.72,DZ,2024-06-08 09:19:13
vilyuysk,63.7553,121.6247,15.56,61,8,3.58,RU,2024-06-08 09:19:13
gordes,38.9328,28.2894,27.2,40,1,8.73,TR,2024-06-08 09:19:13
toliara,-23.35,43.6667,22.36,68,54,8.77,MG,2024-06-08 09:19:13
lincheng,19.9078,109.6858,26.52,88,95,2.18,CN,2024-06-08 09:19:13
sokode,8.9833,1.1333,34.2,38,36,3.53,TG,2024-06-08 09:19:13
preston,53.7667,-2.7167,15.74,64,5,8.11,GB,2024-06-08 09:19:04
watampone,-4.5386,120.3279,24.44,93,40,1.57,ID,2024-06-08 09:19:14
agat village,13.3886,144.6585,28.52,83,0,3.09,GU,2024-06-08 09:19:14
chapada dos guimaraes,-15.4606,-55.7497,29.81,26,14,4.39,BR,2024-06-08 09:19:14
alice springs,-23.7,133.8833,5.75,93,1,2.57,AU,2024-06-08 09:19:14
rokytne,51.2796,27.214,19.22,56,90,3.9,UA,2024-06-08 09:19:14
hirara,24.8,125.2833,26.92,100,75,2.57,JP,2024-06-08 09:19:14
batang,-6.4846,110.7083,26.78,85,40,3.46,ID,2024-06-08 09:19:15
bikenibeu village,1.3673,173.1241,24.98,100,75,0.51,KI,2024-06-08 09:19:15
creel,27.75,-107.6333,21.13,27,25,2.21,MX,2024-06-08 09:19:15
kinkala,-4.3614,14.7644,28.26,60,90,1.61,CG,2024-06-08 09:19:15
hasaki,35.7333,140.8333,17.94,79,100,3.16,JP,2024-06-08 09:19:15
nova vicosa,-17.8919,-39.3719,25.91,72,40,3.5,BR,2024-06-08 09:19:15
mahajanga,-15.7167,46.3167,26.01,78,20,3.6,MG,2024-06-08 09:19:16
lihue,21.9789,-159.3672,22.77,89,100,1.54,US,2024-06-08 09:17:46
karaj,35.8355,51.0103,31.09,10,0,3.09,IR,2024-06-08 09:19:16
kodiak,57.79,-152.4072,6.73,100,100,11.32,US,2024-06-08 09:19:16
olonkinbyen,70.9221,-8.7187,0.49,95,3,5.39,SJ,2024-06-08 09:19:16
coquimbo,-29.9533,-71.3436,14.85,79,75,3.6,CL,2024-06-08 09:19:16
thompson,55.7435,-97.8558,3.09,93,100,5.66,CA,2024-06-08 09:19:16
fedorovskiy,45.0972,40.9517,27.3,37,88,3.68,RU,2024-06-08 09:19:17
nova sintra,14.8667,-24.7167,23.91,81,0,10.77,CV,2024-06-08 09:19:17
zyryanskoye,56.8306,86.6258,14.43,98,96,1.15,RU,2024-06-08 09:19:17
kruisfontein,-34.0033,24.7314,12.16,78,37,1.91,ZA,2024-06-08 09:19:17
tarauaca,-8.1614,-70.7656,32.95,42,26,1.63,BR,2024-06-08 09:19:17
islamorada,24.9243,-80.6278,30.0,81,0,3.83,US,2024-06-08 09:19:17
chapadinha,-3.7417,-43.3603,32.88,46,100,2.3,BR,2024-06-08 09:19:18
khandyga,62.6667,135.6,10.79,36,0,5.15,RU,2024-06-08 09:19:18
kanniyakumari,8.0833,77.5667,26.95,84,39,8.08,IN,2024-06-08 09:19:18
vila velha,-20.3297,-40.2925,28.31,99,40,0.0,BR,2024-06-08 09:19:18
bocana de paiwas,12.7857,-85.1227,30.41,68,79,0.81,NI,2024-06-08 09:19:18
atafu village,-8.5421,-172.5159,28.08,71,78,2.02,TK,2024-06-08 09:19:18
veraval,20.9,70.3667,29.96,79,25,6.86,IN,2024-06-08 09:19:19
bredasdorp,-34.5322,20.0403,11.71,80,100,1.83,ZA,2024-06-08 09:19:19
mount pleasant,32.7941,-79.8626,31.67,50,0,5.14,US,2024-06-08 09:19:19
whitby,54.4877,-0.615,17.3,53,16,4.02,GB,2024-06-08 09:19:19
tazacorte,28.629,-17.9293,22.86,79,75,2.57,ES,2024-06-08 09:19:19
haiku-pauwela,20.9219,-156.3051,23.36,82,0,3.09,US,2024-06-08 09:19:19
kuanda,56.3161,116.0806,5.68,93,2,0.21,RU,2024-06-08 09:19:20
amga,60.8953,131.9608,9.15,94,16,1.27,RU,2024-06-08 09:19:20
lerwick,60.1545,-1.1494,9.0,82,96,9.54,GB,2024-06-08 09:19:20
yoloten,37.2989,62.3597,33.21,14,3,4.82,TM,2024-06-08 09:19:20
tahe,52.3333,124.7333,9.58,56,100,1.35,CN,2024-06-08 09:19:20
sungjibaegam,41.2428,128.7989,7.04,97,78,1.51,KP,2024-06-08 09:19:20
aripuana,-9.1667,-60.6333,34.82,27,0,2.16,BR,2024-06-08 09:19:20
labytnangi,66.6572,66.4183,4.1,66,22,4.25,RU,2024-06-08 09:19:21
pottstown,40.2454,-75.6496,25.31,50,20,6.71,US,2024-06-08 09:19:21
iqaluit,63.7506,-68.5145,1.85,69,75,7.72,CA,2024-06-08 09:19:21
hermanus,-34.4187,19.2345,12.11,69,100,1.35,ZA,2024-06-08 09:19:21
cabo san lucas,22.8909,-109.9124,29.78,69,40,5.36,MX,2024-06-08 09:16:05
runing,33.0011,114.3542,25.13,62,100,3.9,CN,2024-06-08 09:19:21
farasan,16.7022,42.1183,32.06,66,5,1.44,SA,2024-06-08 09:19:22
west bay,19.3667,-81.4167,27.04,97,75,4.63,KY,2024-06-08 09:19:22
hachinohe,40.5,141.5,15.1,94,100,2.57,JP,2024-06-08 09:19:22
moyo,3.6609,31.7247,21.13,85,96,1.03,UG,2024-06-08 09:19:22
nizhnesortymskiy,62.4397,71.7603,15.38,42,5,1.65,RU,2024-06-08 09:19:22
sibolga,1.7427,98.7792,25.77,90,70,0.24,ID,2024-06-08 09:19:22
lancaster,40.2504,-76.2499,23.86,53,20,5.66,US,2024-06-08 09:14:24
popondetta,-8.7537,148.2534,22.96,96,90,1.21,PG,2024-06-08 09:19:23
ust-nera,64.5667,143.2,3.31,63,34,2.2,RU,2024-06-08 09:19:23
alofi,-19.0595,-169.9187,20.94,73,75,2.57,NU,2024-06-08 09:19:23
manavalakurichi,8.1333,77.3,26.41,87,84,6.01,IN,2024-06-08 09:19:23
georgetown,5.4112,100.3354,29.97,81,20,1.03,MY,2024-06-08 09:16:53
igarka,67.4667,86.5833,8.34,76,100,4.02,RU,2024-06-08 09:19:23
doctor arroyo,23.6667,-100.1833,25.24,35,28,0.62,MX,2024-06-08 09:19:24
gaspe,48.8334,-64.4819,15.12,77,20,6.69,CA,2024-06-08 09:19:24
arraial do cabo,-22.9661,-42.0278,26.98,69,20,5.14,BR,2024-06-08 09:19:24
sansepolcro,43.5747,12.143,31.07,56,41,3.34,IT,2024-06-08 09:19:24
constantia,44.1833,28.65,26.5,63,38,4.23,RO,2024-06-08 09:19:24
kayanza,-3.0667,29.6667,17.21,75,47,0.82,BI,2024-06-08 09:19:24
arta,39.1606,20.9853,24.8,59,6,2.86,GR,2024-06-08 09:19:24
mount pearl,47.5166,-52.7813,15.25,90,75,6.69,CA,2024-06-08 09:19:25
butterworth,5.3991,100.3638,30.03,81,20,1.03,MY,2024-06-08 09:19:25
kapoeta,4.7717,33.5903,27.18,60,91,2.64,SS,2024-06-08 09:19:25
tommot,58.9564,126.2925,11.75,69,99,1.55,RU,2024-06-08 09:19:25
nizhneangarsk,55.7833,109.55,10.56,58,95,0.89,RU,2024-06-08 09:19:25
woolgoolga,-30.1106,153.2007,6.93,72,0,2.21,AU,2024-06-08 09:19:25
recani,31.2846,-4.2688,35.69,4,75,14.91,MA,2024-06-08 09:19:26
st. john's,47.5649,-52.7093,15.71,90,75,6.69,CA,2024-06-08 09:19:26
kovalam,8.3667,76.9967,29.05,79,75,3.6,IN,2024-06-08 09:19:26
elliot lake,46.3834,-82.6331,20.59,37,39,5.37,CA,2024-06-08 09:19:26
hobyo,5.3505,48.5268,27.5,76,62,12.05,SO,2024-06-08 09:19:26
ghanzi,-21.5667,21.7833,15.11,24,0,3.6,BW,2024-06-08 09:19:27
dutsen wai,10.8501,8.199,31.98,41,97,1.75,NG,2024-06-08 09:19:27
polyarnyy,69.1989,33.4478,5.61,77,100,8.69,RU,2024-06-08 09:19:27
ketchikan,55.3422,-131.6461,17.41,67,0,3.09,US,2024-06-08 09:19:27
karaton,-6.3424,106.1045,22.98,95,26,0.26,ID,2024-06-08 09:19:27
yomju-up,39.8933,124.5981,15.28,94,0,2.22,KP,2024-06-08 09:19:27
kavieng,-2.5744,150.7967,27.81,80,63,3.73,PG,2024-06-08 09:19:28
khanty-mansiysk,61.0042,69.0019,19.06,34,0,2.0,RU,2024-06-08 09:19:28
saint-denis,48.9167,2.3333,23.38,50,75,5.66,FR,2024-06-08 09:19:28
oranjemund,-28.55,16.4333,18.73,45,0,5.4,NA,2024-06-08 09:19:28
katsuura,35.1333,140.3,20.33,76,74,3.45,JP,2024-06-08 09:19:28
uttar char fasson,22.2332,90.7132,29.28,87,7,8.19,BD,2024-06-08 09:19:28
sanctuary point,-35.1114,150.629,14.07,85,0,2.3,AU,2024-06-08 09:19:29
tir pul,34.5943,61.269,30.08,16,0,8.43,AF,2024-06-08 09:19:29
